HR,Name,Const,RAh,RAmin,RAs,DEd,DEm,DEs,V,BminusV,RA,Hemisphere,DEC
5688,,,15,18,41.3,-31,12,34,6.18,1.23,15.31147222,-1,-31.20944444
5689,,,15,19,31.6,-37,5,48,6.2,0.96,15.32544444,-1,-37.09666667
5690,,,15,18,26.2,0,27,41,5.89,1.51,15.30727778,1,0.4613888889
5691,,,15,14,38.3,67,20,48,5.13,0.53,15.24397222,1,67.34666667
5692,,,15,18,24.5,20,34,22,5.7,0.97,15.30680556,1,20.57277778
5693,,,15,14,51.9,68,56,43,6.51,,15.24775,1,68.94527778
5694,5,Ser,15,19,18.8,1,45,55,5.06,0.54,15.32188889,1,1.765277778
5695,Del,Lup,15,21,22.3,-40,38,51,3.22,-0.22,15.35619444,-1,-40.6475
5696,,,15,21,35.3,-40,44,59,6.2,0.07,15.35980556,-1,-40.74972222
5697,,,15,21,30.1,-38,13,9,6.48,-0.06,15.35836111,-1,-38.21916667
5698,Nu1,Lup,15,22,8.3,-47,55,40,5,0.5,15.36897222,-1,-47.92777778
5699,Nu2,Lup,15,21,48.2,-48,19,4,5.65,0.65,15.36338889,-1,-48.31777778
5700,,,15,23,10.4,-60,39,25,5.67,0.48,15.38622222,-1,-60.65694444
5701,28,Lib,15,20,53.7,-18,9,31,6.17,1.02,15.34825,-1,-18.15861111
5702,,,15,19,30.2,32,30,55,6.32,0.24,15.32505556,1,32.51527778
5703,29Omi,Lib,15,21,1.4,-15,32,54,6.3,0.41,15.35038889,-1,-15.54833333
5704,Gam,Cir,15,23,22.7,-59,19,15,4.51,0.19,15.38963889,-1,-59.32083333
5705,Phi1,Lup,15,21,48.4,-36,15,41,3.56,1.54,15.36344444,-1,-36.26138889
5706,,,15,20,47.1,-2,24,48,6.35,1.06,15.34641667,-1,-2.413333333
5707,,,15,21,7.6,-5,49,29,5.54,1.04,15.35211111,-1,-5.824722222
5708,Eps,Lup,15,22,40.9,-44,41,22,3.37,-0.18,15.37802778,-1,-44.68944444
5709,1Omi,CrB,15,20,8.5,29,36,58,5.51,1.02,15.33569444,1,29.61611111
5710,6,Ser,15,21,2,0,42,55,5.35,1.19,15.35055556,1,0.7152777778
5711,,,15,21,6.9,24,57,28,6.39,1.23,15.35191667,1,24.95777778
5712,Phi2,Lup,15,23,9.4,-36,51,31,4.54,-0.15,15.38594444,-1,-36.85861111
5713,,,15,26,14.7,-68,18,33,5.89,1.02,15.43741667,-1,-68.30916667
5714,11,UMi,15,17,5.9,71,49,26,5.02,1.37,15.28497222,1,71.82388889
5715,,,15,20,5.2,51,57,31,5.66,0.11,15.33477778,1,51.95861111
5716,,,15,20,41.6,44,26,3,6.19,0.39,15.34488889,1,44.43416667
5717,7,Ser,15,22,23.2,12,34,3,6.28,-0.02,15.37311111,1,12.5675
5718,50,Boo,15,21,48.6,32,56,2,5.37,-0.07,15.3635,1,32.93388889
5719,Ups,Lup,15,24,44.9,-39,42,37,5.37,-0.11,15.41247222,-1,-39.71027778
5720,,,15,23,52.2,-12,22,10,5.72,1.04,15.39783333,-1,-12.36944444
5721,8,Ser,15,23,43.7,-1,1,21,6.12,0.25,15.39547222,-1,-1.0225
5722,,,15,25,6.6,-38,10,10,7.03,0.09,15.4185,-1,-38.16944444
5723,31Eps,Lib,15,24,11.9,-10,19,20,4.94,0.44,15.40330556,-1,-10.32222222
5724,,,15,25,20.2,-38,44,1,4.6,0,15.42227778,-1,-38.73361111
5725,,,15,27,33.1,-64,31,53,5.71,1.64,15.45919444,-1,-64.53138889
5726,,,15,22,37.4,39,34,53,5.5,1.59,15.37705556,1,39.58138889
5727,2Eta,CrB,15,23,12.3,30,17,16,5.58,0.58,15.38675,1,30.28777778
5728,2Eta,CrB,15,23,12.3,30,17,16,6.08,,15.38675,1,30.28777778
5729,Rho,Oct,15,43,16.8,-84,27,55,5.57,0.11,15.72133333,-1,-84.46527778
5730,Kap1,Aps,15,31,30.8,-73,23,22,5.49,-0.12,15.52522222,-1,-73.38944444
5731,,,15,22,37.3,62,2,50,5.98,-0.03,15.37702778,1,62.04722222
5732,,,15,24,5.1,45,16,16,6.01,1.2,15.40141667,1,45.27111111
5733,51Mu1,Boo,15,24,29.4,37,22,38,4.31,0.31,15.40816667,1,37.37722222
5734,51Mu2,Boo,15,24,30.9,37,20,52,6.5,0.59,15.40858333,1,37.34777778
5735,13Gam,UMi,15,20,43.7,71,50,2,3.05,0.05,15.34547222,1,71.83388889
5736,,,15,27,18.2,-36,46,4,5.45,-0.15,15.45505556,-1,-36.76777778
5737,,,15,22,38.4,63,20,29,5.79,1.27,15.37733333,1,63.34138889
5738,,,15,28,27.2,-51,35,51,6.1,1.09,15.47422222,-1,-51.5975
5739,9Tau1,Ser,15,25,47.4,15,25,41,5.17,1.66,15.42983333,1,15.42805556
5740,,,15,25,53.3,19,28,51,6.27,0.6,15.43147222,1,19.48083333
5741,,,15,26,17.4,34,20,9,5.46,1.4,15.43816667,1,34.33583333
5742,,,15,29,24.3,-46,43,58,5.24,1.74,15.49008333,-1,-46.73277778
5743,32Zet1,Lib,15,28,15.4,-16,42,59,5.64,1.55,15.47094444,-1,-16.71638889
5744,12Iot,Dra,15,24,55.8,58,57,58,3.29,1.16,15.4155,1,58.96611111
5745,,,15,27,38.9,25,6,6,6.02,1.62,15.46080556,1,25.10166667
5746,10,Ser,15,28,38.2,1,50,32,5.17,0.23,15.47727778,1,1.842222222
5747,3Bet,CrB,15,27,49.7,29,6,21,3.68,0.28,15.46380556,1,29.10583333
5748,,,15,26,32.5,54,1,12,6.45,0.05,15.44236111,1,54.02
5749,,,15,30,36.3,-20,43,42,6.22,0.17,15.51008333,-1,-20.72833333
5750,34Zet3,Lib,15,30,40.4,-16,36,34,5.82,1.06,15.51122222,-1,-16.60944444
